address,is24qa_bezugsfrei_ab,is24qa_etage,is24qa_flaeche,is24qa_kaltmiete,is24qa_nebenkosten,is24qa_zi,lat,lng,url,zip_region_country
"Danziger Straße 73,",sofort,1 von 6,"129,59 m²",2.299 €,,4,"52.53925230668906,",13.425296688047746,https://www.immobilienscout24.de/expose/108208623,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Klara-Franke-Strasse 16,",2018,7,16 m²,690 €,,1,"52.531943915157704,",13.362206163411988,https://www.immobilienscout24.de/expose/108636141,"10557 Berlin, Tiergarten (Tiergarten)"
"Wilmersdorfer Str. 124,",sofort,2 von 3,"129,42 m²",1.799 €,,3,"52.50929864269585,",13.306086628800728,https://www.immobilienscout24.de/expose/107751776,"10627 Berlin, Charlottenburg (Charlottenburg)"
"Danziger Straße 73,",nach Vereinbarung,2 von 4,"135,88 m²",2.399 €,,3,"52.53925230668906,",13.425296688047746,https://www.immobilienscout24.de/expose/107343735,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Heidestraße 12,",2. Quartal 2019,3 von 7,83 m²,1.213 €,,3,"52.53128457637283,",13.367904996660263,https://www.immobilienscout24.de/expose/107300276,"10557 Berlin, Tiergarten (Tiergarten)"
"Damerowstr. 63,",,5 von 5,"104,26 m²","1.355,38 €",,3,"52.572606313708604,",13.416537097448124,https://www.immobilienscout24.de/expose/106981795,"13187 Berlin, Pankow (Pankow)"
"Bruno Walter Straße 11c,",ab sofort,,"50,04 m²",610 €,,2,"52.43295169977238,",13.33043279207239,https://www.immobilienscout24.de/expose/108485094,"12247 Berlin, Lichterfelde (Steglitz)"
"Breitenbachplatz 18,",,2,157 m²,1.575 €,,4,"52.46666376785555,",13.30698823434707,https://www.immobilienscout24.de/expose/108440915,"14195 Berlin, Dahlem (Zehlendorf)"
"Albrechtstr. 33,",16.12.2018,1,"50,92 m²",600 €,,1,"52.45245171957562,",13.332056678381045,https://www.immobilienscout24.de/expose/108484539,"12167 Berlin, Steglitz (Steglitz)"
"Klara-Franke-Strasse 12,",01.12.2018,2,18 m²,730 €,,1,"52.53233969646088,",13.361756523898908,https://www.immobilienscout24.de/expose/108556898,"10557 Berlin, Tiergarten (Tiergarten)"
"Trützschlerstr. 1,",16.12.2018,1,"105,34 m²",1.000 €,,3,"52.44556015811428,",13.505859720931651,https://www.immobilienscout24.de/expose/108078660,"12487 Berlin, Johannisthal (Treptow)"
"Grünauer Straße 129,",sofort,3,"62,1 m²",605 €,,2,"52.432432511687225,",13.571421625882813,https://www.immobilienscout24.de/expose/108119230,"12557 Berlin, Köpenick (Köpenick)"
"Weverstr. 32,",Nach Vereinbarung,0,71 m²,"666,90 €",,2,"52.51963693969371,",13.19184835610578,https://www.immobilienscout24.de/expose/107755053,"13595 Berlin, Spandau (Spandau)"
"Zeppelinstr. 100,",nach Vereinbarung,1,"71,79 m²","516,17 €",,2,"52.549103393829704,",13.185418954359708,https://www.immobilienscout24.de/expose/107871694,"13583 Berlin, Spandau (Spandau)"
"Fregestraße 52,",sofort,2 von 3,152 m²,1.735 €,,3,"52.466899095244116,",13.335837026791838,https://www.immobilienscout24.de/expose/108541783,"12161 Berlin, Steglitz (Steglitz)"
"Weverstr. 9,",14.12.2018,2,"61,85 m²","609,22 €",,"1,5","52.51968538420456,",13.20009621436304,https://www.immobilienscout24.de/expose/108003175,"13595 Berlin, Spandau (Spandau)"
"Neue Schönholzer Straße 29,",sofort,3 von 3,135 m²,1.485 €,,"3,5","52.56733707176278,",13.403226681864798,https://www.immobilienscout24.de/expose/107056636,"13187 Berlin, Pankow (Pankow)"
"Kaiserdamm 4,",,4 von 5,209 m²,2.799 €,,7,"52.51117382089642,",13.293805811956968,https://www.immobilienscout24.de/expose/107708157,"14057 Berlin, Charlottenburg (Charlottenburg)"
"Liesenstr. 3,",01.12.2018,1 von 6,82 m²,1.091 €,,3,"52.53749148367201,",13.375506836779715,https://www.immobilienscout24.de/expose/108344266,"10115 Berlin, Mitte (Mitte)"
"Rotherstraße 25,",01.12.2018,3 von 6,"90,5 m²",1.358 €,,3,"52.50359308067096,",13.452568572521145,https://www.immobilienscout24.de/expose/108554066,"10245 Berlin, Friedrichshain (Friedrichshain)"
